id,rating,genre,director,writer,theater_date,runtime,rating_10_point,fresh
1777,R,Action and Adventure|Drama|Mystery and Suspense,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,2007-11-21,122,8.0,1.0
1778,NR,Documentary|Special Interest,Hans Neiter,unknown,,79,6.2,1.0
1779,PG,Action and Adventure|Drama|Mystery and Suspense|Special Interest,Richard Wallace,unknown,,91,6.2,1.0
1781,PG-13,Comedy|Drama|Musical and Performing Arts|Romance,Peter Bogdanovich,Carol Heikkinen,1993-07-16,116,5.3,1.0
1784,NR,Action and Adventure|Classics,Byron Haskin,Borden Chase|James Hill,1954-01-16,89,6.2,1.0
1785,R,Action and Adventure|Horror|Mystery and Suspense,unknown,unknown,2002-03-15,100,5.0,0.0
1786,R,Art House and International|Drama|Mystery and Suspense|Romance,Peter Sehr,Peter Sehr|Marie Noelle,2003-06-06,110,5.6,0.0
1787,R,Drama|Horror|Science Fiction and Fantasy,Cornel Wilde,Jefferson Pascal|Sean Forestal,1970-10-23,97,6.2,1.0
1788,PG,Drama|Romance,Jane Campion,Jane Campion,2009-05-15,119,7.0,1.0
1789,R,Drama,Adrian Lyne,Amy Holden Jones|William Goldman,1993-04-07,117,4.9,0.0
1790,R,Comedy|Drama,Paul Bogart,Harvey Fierstein,1988-12-14,126,6.3,1.0
1793,R,Action and Adventure|Comedy|Drama,Jim Jarmusch,Jim Jarmusch,2000-03-03,116,6.9,1.0
1794,NR,Art House and International|Drama|Science Fiction and Fantasy,Krzysztof Kieslowski,unknown,1989-08-14,122,6.2,1.0
1795,PG,Action and Adventure|Art House and International|Classics|Drama|Mystery and Suspense,unknown,Tom Laughlin,1967-07-12,112,6.2,1.0
1797,R,Action and Adventure|Drama|Mystery and Suspense,Arturo Ripstein,Arturo Ripstein|Hal Craig|Jose Emilio Pacheco,,91,6.2,1.0
1798,PG,Animation|Comedy|Kids and Family,Ash Brannon,Ash Brannon|Kurt Voelker,2017-02-24,80,5.5,0.0
1799,NR,Drama,Mitchell Leisen,Joe Eisinger,,85,6.2,0.0
1800,R,Comedy|Drama|Musical and Performing Arts,Stephen Daldry,Lee Hall,2000-11-03,110,6.9,1.0
1801,PG-13,Drama,Peter Weir,unknown,2011-01-21,133,6.6,1.0
1802,NR,Action and Adventure|Classics|Western|Romance,George Marshall,Sydney Boehm,,95,6.2,1.0
1803,PG-13,Comedy|Drama,Jocelyn Moorhouse,Jane Anderson,1995-10-06,117,6.0,1.0
1804,PG-13,Comedy|Science Fiction and Fantasy|Romance,Terry Hughes,Ezra Litwak|Marjorie Schwartz,1991-10-25,104,4.8,0.0
1805,NR,Drama,Joe Hisaishi,unknown,,112,6.2,1.0
1807,R,Art House and International|Comedy|Drama|Romance,Damian Harris|Damien Harris,Damian Harris,1989-05-12,92,5.4,0.0
1808,R,Action and Adventure|Drama,Sean Penn,Sean Penn,2007-10-19,148,7.2,1.0
1809,R,Comedy|Horror,Larry Cohen,Larry Cohen,,95,4.9,1.0
1812,PG,Action and Adventure|Comedy,unknown,Dan Gordon|Bob Gale,1984-03-16,114,4.7,0.0
1813,G,Drama|Horror|Science Fiction and Fantasy,Kinji Fukasaku,Charles Sinclair|Tom Rowe|William Finger,1969-01-01,90,4.9,0.0
1814,NR,Art House and International|Comedy|Drama|Romance,Lukas Moodysson,Lukas Moodysson,1999-10-15,89,7.0,1.0
1815,NR,Comedy|Musical and Performing Arts,George Sidney,Isobel Lennart,,127,6.2,1.0
1816,PG-13,Comedy|Drama,Robert Altman,Anne Rapp,1999-04-02,118,7.2,1.0
1818,PG,Action and Adventure|Mystery and Suspense,Terence Young|Gail Harvey,Shimon Wincelberg|Dorothea Bennett|Albert Simonin|Joe Eisinger,,90,6.2,1.0
1819,PG-13,Action and Adventure|Science Fiction and Fantasy,Steven Spielberg,Zak Penn|Ernest Cline,2018-03-29,140,6.2,1.0
1820,NR,Comedy|Drama|Special Interest,Raoul Ruiz,Raoul Ruiz,,83,6.2,1.0
1821,NR,Art House and International|Comedy|Drama,Roman Bondarchuk,unknown,,90,6.8,1.0
1822,PG-13,Art House and International|Documentary,James Marsh,unknown,2011-07-08,99,7.4,1.0
1823,NR,Art House and International|Comedy|Drama,Pjer Zalica,Pjer Zalica,2005-04-02,111,6.2,1.0
1824,NR,Art House and International|Drama,Romuald Karmakar,unknown,1995-11-23,114,6.2,1.0
1825,NR,Drama|Science Fiction and Fantasy,William Eubank,William Eubank,,90,5.3,0.0
1826,PG,Action and Adventure|Drama|Mystery and Suspense,John Glen,unknown,1983-06-10,131,5.7,0.0
1828,NR,Art House and International|Drama|Romance,Heiner Carow,Wolfram Witt,1991-02-05,108,5.0,0.0
1829,NR,Animation|Kids and Family,unknown,unknown,,60,6.2,1.0
